"name","name","name","size"
"place","steele","Calgary (Alta.)",28
"place","steele","Coldwater (Ont.)",1
"place","steele","Dawson (Yukon)",6
"place","steele","Denver (Colorado)",1
"place","steele","Fort Macleod (Alta.)",2
"place","steele","Fort Osborne (Man.)",1
"place","steele","Halifax (N.S.)",1
"place","steele","Kent (England)",1
"place","steele","London (England)",1
"place","steele","Montréal (Québec) ",48
"place","steele","Ottawa (Ont.)",1
"place","steele","Pretoria (South Africa)",30
"place","steele","South Africa",9
"place","steele","Toronto (Ont.)",1
"place","steele","Vancouver (B.C.) ",1
"place","steele","Vaudreuil (Québec)",1
"place","steele","Winnipeg (Man.)",17
"place","steele","Yukon",2
"place","postcards","[Abernethy]",1
"place","postcards","[Alberta]",21
"place","postcards","[Alberta or Manitoba?]",1
"place","postcards","Alexander",2
"place","postcards","[Alsask]",1
"place","postcards","[Alta.]",1
"place","postcards","Altona",1
"place","postcards","[Altona]",2
"place","postcards","[Angusville]",2
"place","postcards","[Arden]",4
"place","postcards","[Armstrong]",1
"place","postcards","Assiniboia",1
"place","postcards","[Assiniboia]",1
"place","postcards","Athabasca",1
"place","postcards","[Athabasca]",12
"place","postcards","[Austin]",1
"place","postcards","[Bagot]",1
"place","postcards","Banff",945
"place","postcards","[Banff]",51
"place","postcards","[Banff National Park]",9
"place","postcards","[Barrhead]",1
"place","postcards","Bassano",1
"place","postcards","[Bassano]",5
"place","postcards","Battleford",1
"place","postcards","[Battleford]",2
"place","postcards","[Beausejour]",16
"place","postcards","[Beaver Lake]",1
"place","postcards","[Bellevue]",2
"place","postcards","[Belmont]",1
"place","postcards","[Benito]",5
"place","postcards","[Beresford]",1
"place","postcards","Berkeley",1
"place","postcards","Berlin",1
"place","postcards","[Beulah]",1
"place","postcards","[Bingen]",1
"place","postcards","Binscarth",2
"place","postcards","[Binscarth]",1
"place","postcards","[Birch Lake]",1
"place","postcards","[Birds Hill]",1
"place","postcards","Birtle",4
"place","postcards","[Birtle]",5
"place","postcards","[Bismark]",1
"place","postcards","[Blackfoot]",1
"place","postcards","Blairmore",1
"place","postcards","[Blairmore]",1
"place","postcards","Blairville",1
"place","postcards","[Blakney]",1
"place","postcards","Boissevain",2
"place","postcards","[Boissevain]",4
"place","postcards","[Bonnyville]",5
"place","postcards","[Borden]",1
